Id,Neighborhood,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,GarageCond
894,Sawyer,5,1954,1383,1383,0,1383,3,TA,TA
895,SawyerW,5,1979,0,1535,0,1535,4,TA,TA
896,NAmes,5,1963,780,983,813,1796,4,TA,TA
897,IDOTRR,6,1936,951,951,0,951,2,TA,TA
898,SawyerW,5,1979,0,1120,1120,2240,6,TA,TA
899,NridgHt,5,2009,2330,2364,0,2364,2,Ex,TA
900,Sawyer,7,1961,912,1236,0,1236,3,TA,TA
901,NAmes,6,1971,858,858,0,858,2,TA,TA
902,NAmes,7,1957,992,1306,0,1306,2,TA,TA
903,Gilbert,5,2003,783,807,702,1509,3,Gd,TA
904,Gilbert,5,2006,1670,1670,0,1670,3,Gd,TA
905,Sawyer,6,1967,876,902,0,902,3,TA,TA
906,NAmes,5,1954,1056,1063,0,1063,3,TA,TA
907,Somerst,5,2006,1623,1636,0,1636,3,Gd,TA
908,Crawfor,7,1936,1017,1020,1037,2057,3,Gd,TA
909,Mitchel,5,1983,864,902,0,902,2,TA,TA
910,Gilbert,5,2005,742,742,742,1484,3,Gd,TA
911,NAmes,5,1960,1105,1105,1169,2274,5,TA,TA
912,CollgCr,7,1977,1268,1268,0,1268,3,Gd,TA
913,BrkSide,7,1925,768,1015,0,1015,3,TA,TA
914,Crawfor,6,1949,1001,1001,1001,2002,4,TA,TA
915,Somerst,5,2009,612,612,612,1224,2,Gd,TA
916,MeadowV,5,1970,546,546,546,1092,3,TA,TA
917,IDOTRR,3,1949,480,480,0,480,1,TA,TA
918,Edwards,6,1956,1134,1229,0,1229,3,TA,TA
919,SawyerW,5,1991,1104,912,1215,2127,4,Gd,TA
920,NAmes,8,1958,1184,1414,0,1414,3,TA,TA
921,SawyerW,5,1994,928,936,785,1721,3,Gd,TA
922,Edwards,7,1900,1272,1272,928,2200,4,TA,
923,Gilbert,5,2005,1316,1316,0,1316,3,Gd,TA
924,SawyerW,5,1993,1604,1617,0,1617,2,Gd,TA
925,NWAmes,6,1980,1686,1686,0,1686,3,TA,TA
926,NWAmes,6,1977,1126,1126,0,1126,3,Ex,TA
927,NridgHt,5,2003,1181,1234,1140,2374,4,Ex,TA
928,NWAmes,5,1968,832,1098,880,1978,4,TA,TA
929,CollgCr,5,2001,1753,1788,0,1788,3,Ex,TA
930,Gilbert,5,1997,964,993,1243,2236,4,Gd,TA
931,Timber,5,2007,1466,1466,0,1466,3,Gd,TA
932,NAmes,6,1965,925,925,0,925,2,TA,TA
933,Somerst,5,2006,1905,1905,0,1905,3,Ex,TA
934,CollgCr,5,2004,1500,1500,0,1500,3,Gd,TA
935,NAmes,7,1960,585,2069,0,2069,4,Gd,TA
936,BrkSide,5,1926,600,747,0,747,1,TA,TA
937,SawyerW,5,2003,1176,1200,0,1200,2,Gd,TA
938,Somerst,5,2005,1113,1113,858,1971,3,Gd,TA
939,CollgCr,5,2006,1391,1391,571,1962,3,Gd,TA
940,ClearCr,7,1940,1032,1207,1196,2403,4,TA,TA
941,Mitchel,5,1976,1728,1728,0,1728,4,TA,TA
942,Gilbert,5,1999,992,1022,1038,2060,3,Gd,TA
943,Edwards,3,1977,1440,1440,0,1440,4,TA,
944,Mitchel,4,1967,1632,1632,0,1632,4,TA,TA
945,Timber,6,1958,819,1344,0,1344,3,Gd,TA
946,OldTown,6,1890,1088,1188,561,1869,2,TA,TA
947,NAmes,6,1959,1144,1144,0,1144,3,TA,TA
948,Timber,5,2002,1616,1629,0,1629,3,Gd,TA
949,CollgCr,5,2002,936,936,840,1776,3,Gd,TA
950,NWAmes,7,1972,1161,1381,0,1381,3,Gd,TA
951,NAmes,8,1950,864,864,0,864,3,Gd,TA
952,SawyerW,5,1965,828,965,0,965,3,TA,TA
953,CollgCr,8,1972,768,768,0,768,2,TA,TA
954,Mitchel,4,1969,784,1168,800,1968,4,TA,TA
955,Edwards,5,1975,945,980,0,980,4,TA,
956,Crawfor,6,1946,979,979,979,1958,4,TA,TA
957,Blueste,6,1980,561,561,668,1229,2,TA,TA
958,Sawyer,5,1962,1057,1057,0,1057,3,TA,TA
959,CollgCr,5,2003,1337,1337,0,1337,3,Gd,TA
960,Somerst,5,1999,696,696,720,1416,3,Gd,TA
961,BrkSide,7,1958,858,858,0,858,2,TA,
962,NWAmes,7,1977,1330,1542,1330,2872,4,TA,TA
963,NPkVill,6,1976,804,804,744,1548,3,Gd,TA
964,CollgCr,5,2007,1800,1800,0,1800,2,Ex,TA
965,Timber,5,2002,817,824,1070,1894,4,Gd,TA
966,Gilbert,5,2005,783,783,701,1484,3,Gd,TA
967,Crawfor,7,1940,728,976,332,1308,2,TA,TA
968,NAmes,7,1955,1098,1098,0,1098,3,TA,TA
969,OldTown,6,1910,600,600,368,968,2,TA,
970,NAmes,5,1958,588,1095,0,1095,2,TA,TA
971,NAmes,4,1949,720,720,472,1192,4,TA,
972,NridgHt,5,2003,764,764,862,1626,2,Gd,TA
973,SawyerW,5,1979,918,918,0,918,2,TA,TA
974,Somerst,5,2007,1428,1428,0,1428,3,Gd,TA
975,BrkSide,8,1910,728,1136,883,2019,3,Gd,TA
976,Somerst,5,2000,673,673,709,1382,3,Gd,TA
977,BrkSide,7,1923,440,869,0,869,2,Fa,
978,Somerst,5,2006,1241,1241,0,1241,1,Gd,TA
979,Edwards,5,1954,894,894,0,894,3,TA,TA
980,Sawyer,6,1963,1121,1121,0,1121,3,TA,TA
981,NAmes,9,1961,944,999,0,999,3,Ex,TA
982,NoRidge,5,1998,1225,1276,1336,2612,4,Gd,TA
983,Blmngtn,5,2007,1266,1266,0,1266,2,Gd,TA
984,CollgCr,5,2002,1128,1149,1141,2290,4,Gd,TA
985,Mitchel,5,1977,0,1302,432,1734,4,Gd,TA
986,Edwards,5,1950,1164,1164,0,1164,3,TA,TA
987,OldTown,8,1910,485,1001,634,1635,2,Gd,TA
988,NridgHt,5,2009,1930,1940,0,1940,3,Ex,TA
989,NWAmes,6,1976,848,1118,912,2030,4,Gd,TA
990,Somerst,5,2006,770,778,798,1576,3,Gd,TA
991,NoRidge,5,1997,1396,1407,985,2392,3,Gd,TA
992,OldTown,9,1882,916,916,826,1742,4,Gd,TA
993,NAmes,8,1964,822,1020,831,1851,3,Gd,TA
994,CollgCr,5,2005,750,750,750,1500,3,Gd,TA
995,NridgHt,5,2006,1700,1718,0,1718,3,Ex,TA
996,BrkSide,7,1946,747,774,456,1230,3,TA,TA
997,NAmes,6,1961,1050,1050,0,1050,3,TA,TA
998,NWAmes,6,1970,1442,1442,0,1442,2,TA,TA
999,IDOTRR,4,1922,1007,1077,0,1077,3,TA,Fa
1000,CollgCr,5,2006,1187,1208,0,1208,2,Gd,TA
1001,Edwards,3,1952,0,944,0,944,2,Fa,Fa
1002,OldTown,6,1920,691,691,0,691,2,Ex,TA
1003,Somerst,5,2006,1574,1574,0,1574,3,Gd,TA
1004,NWAmes,6,1976,1680,1680,0,1680,4,TA,TA
1005,Blmngtn,5,2005,1346,1504,0,1504,1,Gd,TA
1006,CollgCr,8,1977,985,985,0,985,3,TA,TA
1007,NAmes,3,1970,1657,1657,0,1657,3,TA,TA
1008,MeadowV,4,1970,546,546,546,1092,3,TA,TA
1009,Mitchel,5,2004,1710,1710,0,1710,3,Gd,TA
1010,SWISU,5,1926,1008,1008,0,1522,4,TA,
1011,Sawyer,5,1948,720,720,551,1271,4,TA,TA
1012,Edwards,5,1965,0,1664,0,1664,4,TA,
1013,Crawfor,7,1923,602,900,602,1502,3,Gd,TA
1014,OldTown,4,1910,1022,1022,0,1022,2,TA,TA
1015,NAmes,5,1948,1082,1082,0,1082,2,TA,TA
1016,NWAmes,6,2001,810,810,855,1665,3,Gd,TA
1017,CollgCr,5,1996,1504,1504,0,1504,3,Gd,TA
1018,StoneBr,5,1984,1220,1360,0,1360,1,Gd,TA
1019,Gilbert,5,1991,384,802,670,1472,3,Gd,TA
1020,Blmngtn,5,2005,1362,1506,0,1506,2,Gd,TA
1021,Edwards,5,2005,1132,1132,0,1132,2,Gd,TA
1022,CollgCr,5,2006,1199,1220,0,1220,2,Gd,TA
1023,OldTown,5,1930,912,912,336,1248,2,TA,Fa
1024,Blmngtn,5,2005,1346,1504,0,1504,2,Gd,TA
1025,Timber,6,1976,1565,2898,0,2898,2,Gd,TA
1026,CollgCr,5,1972,882,882,0,882,3,TA,TA
1027,NAmes,5,1960,1268,1264,0,1264,3,TA,TA
1028,Timber,5,2007,1638,1646,0,1646,3,Gd,TA
1029,NAmes,5,1941,768,968,408,1376,3,TA,TA
1030,BrDale,7,1972,672,672,546,1218,3,TA,TA
1031,SWISU,8,1916,686,948,980,1928,5,TA,
1032,SWISU,3,1920,824,1687,998,3082,5,TA,TA
1033,NoRidge,7,1993,1338,1352,1168,2520,5,Gd,TA
1034,CollgCr,5,2002,1654,1654,0,1654,3,Gd,TA
1035,Crawfor,7,1938,920,954,0,954,2,Fa,TA
1036,Edwards,3,1957,0,845,0,845,3,TA,TA
1037,Timber,5,2007,1620,1620,0,1620,2,Ex,TA
1038,CollgCr,5,2001,1055,1055,1208,2263,3,Gd,TA
1039,MeadowV,6,1970,546,798,546,1344,3,TA,
1040,MeadowV,4,1970,630,630,0,630,1,TA,TA
1041,Sawyer,4,1957,1134,1803,0,1803,3,TA,TA
1042,NWAmes,8,1966,800,800,832,1632,4,Gd,TA
1043,NridgHt,5,2005,1306,1306,0,1306,1,Gd,TA
1044,SawyerW,5,1990,1475,1532,797,2329,4,Gd,TA
1045,NWAmes,5,1981,2524,2524,0,2524,4,Gd,TA
1046,Edwards,5,1955,0,1733,0,1733,4,TA,TA
1047,StoneBr,5,2005,1992,1992,876,2868,4,Ex,TA
1048,CollgCr,5,1994,990,990,0,990,3,TA,TA
1049,Mitchel,4,1960,0,1771,0,1771,3,TA,TA
1050,Edwards,7,1946,0,930,0,930,2,Gd,TA
1051,Gilbert,5,2007,1302,1302,0,1302,3,Gd,TA
1052,CollgCr,5,2007,1316,1316,0,1316,3,Gd,TA
1053,NAmes,6,1964,816,1127,850,1977,4,TA,TA
1054,Edwards,6,1957,1216,1526,0,1526,4,TA,TA
1055,CollgCr,5,2002,1065,1091,898,1989,3,Gd,TA
1056,NWAmes,5,1976,1193,1523,0,1523,3,TA,TA
1057,NridgHt,5,2005,1364,1364,0,1364,2,Gd,TA
1058,NoRidge,6,1994,973,979,871,1850,3,Gd,TA
1059,NridgHt,5,2008,1104,1130,1054,2184,3,Ex,TA
1060,Crawfor,7,1932,854,1096,895,1991,3,TA,Fa
1061,StoneBr,5,2001,1338,1338,0,1338,2,Gd,TA
1062,IDOTRR,4,1935,894,894,0,894,2,TA,TA
1063,OldTown,5,1900,662,1422,915,2337,5,TA,TA
1064,OldTown,6,1925,1103,1103,0,1103,2,Gd,TA
1065,NAmes,6,1966,1154,1154,0,1154,3,TA,TA
1066,ClearCr,5,1996,1306,1306,954,2260,3,Gd,TA
1067,Gilbert,7,1993,799,799,772,1571,3,TA,TA
1068,NAmes,6,1964,780,798,813,1611,4,TA,TA
1069,MeadowV,4,1973,942,1291,1230,2521,5,TA,TA
1070,NAmes,7,1949,845,893,0,893,2,Gd,TA
1071,NAmes,5,1956,1048,1048,0,1048,3,TA,TA
1072,NWAmes,6,1968,727,829,727,1556,4,TA,TA
1073,Edwards,3,1948,810,1002,454,1456,4,TA,TA
1074,Edwards,6,1977,690,698,728,1426,3,TA,TA
1075,CollgCr,5,2006,1240,1240,0,1240,2,Gd,TA
1076,Crawfor,6,1940,800,960,780,1740,3,TA,TA
1077,OldTown,8,1936,796,1096,370,1466,3,Gd,TA
1078,NAmes,5,1969,1096,1096,0,1096,3,TA,TA
1079,CollgCr,5,2004,848,848,0,848,1,Gd,TA
1080,CollgCr,5,1994,990,990,0,990,3,TA,TA
1081,NWAmes,7,1971,1258,1258,0,1258,3,Gd,TA
1082,Sawyer,5,1963,1040,1040,0,1040,3,TA,TA
1083,CollgCr,5,2002,1459,1459,0,1459,3,Gd,TA
1084,NAmes,6,1964,1251,1251,0,1251,3,TA,TA
1085,Gilbert,5,1995,691,691,807,1498,3,TA,TA
1086,SawyerW,6,1992,936,996,0,996,2,Gd,TA
1087,MeadowV,5,1973,546,546,546,1092,3,TA,TA
1088,Somerst,5,2005,1082,1082,871,1953,3,Gd,TA
1089,Edwards,5,2004,970,970,739,1709,3,Gd,TA
1090,Somerst,5,2005,1247,1247,0,1247,1,Gd,TA
1091,NAmes,4,1950,0,1040,0,1040,2,TA,TA
1092,Somerst,5,1999,600,624,628,1252,2,Gd,TA
1093,SWISU,5,1925,1181,1390,304,1694,4,TA,TA
1094,NAmes,8,1965,864,1200,0,1200,1,Gd,TA
1095,NAmes,7,1956,936,936,0,936,2,TA,TA
1096,CollgCr,5,2006,1314,1314,0,1314,3,Gd,TA
1097,IDOTRR,7,1914,684,773,582,1355,3,Gd,
1098,StoneBr,5,1986,1074,1088,0,1088,2,Gd,TA
1099,BrkSide,6,1936,672,757,567,1324,3,TA,TA
1100,NWAmes,5,1978,1271,1601,0,1601,3,TA,TA
1101,SWISU,5,1920,290,438,0,438,1,Fa,TA
1102,NAmes,5,1971,950,950,0,950,3,TA,TA
1103,NAmes,7,1960,1010,1134,0,1134,2,TA,TA
1104,NAmes,6,1959,655,1194,0,1194,3,TA,TA
1105,BrDale,5,1970,630,630,672,1302,3,TA,TA
1106,NoRidge,5,1994,1463,1500,1122,2622,3,Gd,TA
1107,SawyerW,5,1990,910,1442,0,1442,3,Gd,TA
1108,Gilbert,5,2006,868,887,1134,2021,3,Gd,TA
1109,Gilbert,5,2000,924,948,742,1690,3,TA,TA
1110,NridgHt,5,2004,1836,1836,0,1836,3,Gd,TA
1111,Gilbert,5,1995,773,773,885,1658,3,TA,TA
1112,NWAmes,6,1976,803,1098,866,1964,4,TA,TA
1113,NAmes,7,1957,816,816,0,816,2,TA,TA
1114,NAmes,7,1953,1008,1008,0,1008,2,Gd,TA
1115,OldTown,7,1954,833,833,0,833,2,Gd,TA
1116,NridgHt,5,2007,1734,1734,0,1734,3,Ex,TA
1117,Gilbert,5,2002,408,779,640,1419,3,Gd,TA
1118,Sawyer,7,1967,894,894,0,894,3,Gd,TA
1119,Sawyer,6,1958,533,1021,580,1601,3,TA,TA
1120,NAmes,5,1959,1040,1040,0,1040,3,TA,TA
1121,IDOTRR,5,1920,1012,1012,0,1012,2,TA,TA
1122,CollgCr,5,2005,1552,1552,0,1552,3,Gd,TA
1123,Edwards,3,1956,672,960,0,960,3,TA,TA
1124,Edwards,9,1947,698,698,0,698,2,TA,
1125,Gilbert,5,1992,384,812,670,1482,3,Gd,TA
1126,NAmes,5,1955,1005,1005,0,1005,2,Fa,Fa
1127,Blmngtn,5,2007,1373,1555,0,1555,2,Gd,TA
1128,Gilbert,5,2004,1530,1530,0,1530,3,Gd,TA
1129,Gilbert,5,2004,847,847,1112,1959,4,Gd,TA
1130,OldTown,5,1980,936,936,0,936,2,TA,TA
1131,SWISU,3,1928,1122,1328,653,1981,4,Gd,TA
1132,Mitchel,5,1991,974,974,0,974,3,TA,
1133,OldTown,4,1880,1008,1178,1032,2210,5,Fa,TA
1134,SawyerW,5,1995,1128,1142,878,2020,3,Gd,TA
1135,Gilbert,5,1997,916,916,684,1600,3,TA,TA
1136,BrkSide,5,1926,960,986,0,986,2,TA,TA
1137,NAmes,5,1950,1032,1032,220,1252,3,TA,TA
1138,Sawyer,8,1875,780,780,240,1020,2,TA,
1139,Mitchel,5,1977,1567,1567,0,1567,2,Gd,TA
1140,BrkSide,5,1920,915,1167,0,1167,3,TA,TA
1141,NAmes,7,1951,952,952,0,952,2,TA,TA
1142,NWAmes,7,1976,780,1088,780,1868,4,Gd,TA
1143,CollgCr,5,2006,1466,1466,1362,2828,4,Gd,TA
1144,Sawyer,3,1959,1006,1006,0,1006,3,TA,
1145,Edwards,4,1941,672,672,252,924,2,Fa,TA
1146,BrkSide,6,1928,1042,1042,534,1576,3,TA,TA
1147,SawyerW,5,1985,1298,1298,0,1298,3,Gd,TA
1148,Crawfor,7,1941,704,860,704,1564,3,Fa,TA
1149,OldTown,7,1926,572,572,539,1111,2,TA,TA
1150,OldTown,9,1920,650,832,650,1482,3,TA,TA
1151,NAmes,5,1950,932,932,0,932,2,Gd,TA
1152,Edwards,4,1959,1466,1466,0,1466,3,Fa,TA
1153,Crawfor,7,1956,1073,1811,0,1811,2,Ex,TA
1154,IDOTRR,8,1930,816,816,0,816,2,TA,TA
1155,NAmes,6,1965,864,902,918,1820,4,Gd,TA
1156,Veenker,8,1976,1437,1437,0,1437,3,Gd,TA
1157,NAmes,8,1965,1219,1265,0,1265,3,Gd,TA
1158,NridgHt,5,2007,1314,1314,0,1314,2,Gd,TA
1159,Somerst,5,2007,1580,1580,0,1580,3,Gd,TA
1160,NWAmes,6,1974,901,943,933,1876,4,Gd,TA
1161,NPkVill,5,1978,855,855,601,1456,3,TA,TA
1162,Crawfor,7,1954,1296,1640,0,1640,3,Gd,TA
1163,Sawyer,5,1968,894,894,0,894,3,TA,TA
1164,Sawyer,4,1969,1198,1258,0,1258,0,TA,TA
1165,Veenker,7,1978,1360,1432,0,1432,2,Gd,TA
1166,NridgHt,5,2009,1502,1502,0,1502,3,Gd,TA
1167,CollgCr,5,2008,1694,1694,0,1694,3,Gd,TA
1168,Gilbert,5,2000,959,959,712,1671,3,TA,TA
1169,Edwards,7,1935,1127,1236,872,2108,4,Gd,TA
1170,NoRidge,5,1995,1930,1831,1796,3627,4,Gd,TA
1171,Mitchel,6,1977,1096,1118,0,1118,3,TA,TA
1172,NAmes,6,1958,1261,1261,0,1261,3,TA,TA
1173,Somerst,5,2006,625,625,625,1250,2,Gd,TA
1174,ClearCr,6,1946,1598,1636,971,3086,3,Ex,
1175,Crawfor,8,1932,952,1170,1175,2345,4,TA,TA
1176,NoRidge,5,1992,1683,2129,743,2872,4,Gd,TA
1177,Mitchel,5,1984,876,923,0,923,3,TA,TA
1178,OldTown,8,1926,818,818,406,1224,3,TA,TA
1179,Crawfor,6,1921,731,820,523,1343,3,TA,TA
1180,Edwards,5,1954,0,1124,0,1124,3,TA,
1181,Timber,5,1990,1216,1298,1216,2514,4,TA,TA
1182,Crawfor,5,2008,1600,1652,0,1652,2,Gd,TA
1183,NoRidge,5,1996,2396,2411,2065,4476,4,Ex,TA
1184,OldTown,6,1920,1120,1130,0,1130,2,TA,TA
1185,Timber,4,1963,1572,1572,0,1572,3,TA,TA
1186,Edwards,7,1924,784,949,272,1221,4,TA,TA
1187,OldTown,5,1900,978,1014,685,1699,3,TA,Fa
1188,NoRidge,5,1994,1624,1624,0,1624,2,Gd,TA
1189,CollgCr,5,2002,831,831,829,1660,3,Gd,TA
1190,Gilbert,5,1999,994,1028,776,1804,3,Gd,TA
1191,Mitchel,4,1961,1249,1622,0,1622,3,TA,TA
1192,Somerst,5,1999,776,764,677,1441,2,Gd,TA
1193,OldTown,8,1925,702,842,630,1472,3,Gd,Fa
1194,Mitchel,5,1999,1224,1224,0,1224,2,TA,TA
1195,Sawyer,7,1969,663,663,689,1352,4,TA,TA
1196,Gilbert,5,2005,728,728,728,1456,3,Gd,TA
1197,Gilbert,5,2006,879,879,984,1863,4,Gd,TA
1198,OldTown,6,1916,815,815,875,1690,3,TA,TA
1199,CollgCr,5,2001,1212,1212,0,1212,3,Gd,TA
1200,Sawyer,5,1963,1051,1382,0,1382,3,TA,TA
1201,NAmes,5,1970,864,864,0,864,3,TA,TA
1202,CollgCr,5,1998,866,866,913,1779,3,Gd,TA
1203,BrkSide,8,1925,884,884,464,1348,3,TA,TA
1204,CollgCr,5,2000,1630,1630,0,1630,3,Gd,TA
1205,NWAmes,6,1975,1056,1074,0,1074,3,TA,TA
1206,SawyerW,7,1990,2158,2196,0,2196,3,Gd,TA
1207,SawyerW,4,1966,1056,1056,0,1056,2,TA,TA
1208,CollgCr,5,2003,1682,1700,0,1700,3,Gd,TA
1209,NAmes,7,1962,931,1283,0,1283,3,TA,TA
1210,Somerst,5,2006,1660,1660,0,1660,3,Gd,TA
1211,SawyerW,5,1992,1055,1055,790,1845,3,Gd,TA
1212,Gilbert,7,1988,559,1080,672,1752,4,TA,TA
1213,Edwards,6,1941,672,672,0,672,2,TA,TA
1214,Sawyer,9,1965,648,960,0,960,0,TA,TA
1215,NAmes,5,1962,925,999,0,999,3,TA,TA
1216,Sawyer,5,1966,894,894,0,894,3,TA,TA
1217,Sawyer,5,1978,0,1318,584,1902,4,TA,TA
1218,Somerst,5,2009,1300,1314,0,1314,3,Gd,TA
1219,BrkSide,5,1947,0,672,240,912,2,TA,
1220,BrDale,5,1971,672,672,546,1218,3,TA,
1221,NAmes,5,1964,912,912,0,912,2,TA,TA
1222,Sawyer,5,1968,952,1211,0,1211,3,TA,TA
1223,NAmes,6,1949,1040,1168,678,1846,3,TA,TA
1224,NAmes,3,1951,2136,2136,0,2136,4,TA,TA
1225,Gilbert,5,2004,788,788,702,1490,3,Gd,TA
1226,NAmes,8,1958,588,1138,0,1138,3,TA,TA
1227,Somerst,5,2007,894,894,1039,1933,4,Gd,TA
1228,NAmes,8,1965,912,912,0,912,2,Gd,TA
1229,NridgHt,5,2008,1702,1702,0,1702,1,Ex,TA
1230,NAmes,5,1960,1075,1507,0,1507,4,TA,TA
1231,Sawyer,5,1977,1361,1361,1259,2620,4,TA,TA
1232,NAmes,6,1962,1106,1190,0,1190,3,TA,TA
1233,NAmes,5,1962,0,1224,0,1224,2,TA,TA
1234,NAmes,5,1959,1188,1188,0,1188,3,TA,TA
1235,SWISU,6,1911,940,1024,940,1964,4,TA,
1236,Crawfor,5,1914,747,892,892,1784,4,TA,Fa
1237,NridgHt,5,2003,764,764,862,1626,2,Gd,TA
1238,CollgCr,5,2004,847,847,1101,1948,4,Gd,TA
1239,SawyerW,5,2005,1141,1141,0,1141,3,TA,TA
1240,Timber,5,2006,1476,1484,0,1484,2,Ex,TA
1241,CollgCr,5,2003,884,884,884,1768,3,Gd,TA
1242,Somerst,6,2007,1689,1689,0,1689,3,Gd,TA
1243,NWAmes,6,1974,1053,1173,0,1173,3,Gd,TA
1244,NridgHt,5,2006,2076,2076,0,2076,2,Ex,TA
1245,Crawfor,7,1929,792,792,725,1517,3,Gd,TA
1246,NWAmes,7,1984,585,1140,728,1868,3,TA,TA
1247,Somerst,5,2005,756,756,797,1553,3,Gd,TA
1248,Mitchel,5,1976,1012,1034,0,1034,3,TA,TA
1249,OldTown,5,1917,735,1134,924,2058,3,TA,Fa
1250,NAmes,7,1950,876,988,0,988,3,TA,TA
1251,NAmes,5,1968,2110,2110,0,2110,3,Ex,TA
1252,NridgHt,5,2003,1405,1405,0,1405,2,Gd,TA
1253,Mitchel,6,1968,864,874,0,874,3,TA,TA
1254,Veenker,7,1974,1192,1516,651,2167,3,Gd,TA
1255,Edwards,5,2003,746,760,896,1656,3,Gd,TA
1256,BrkSide,6,1931,884,959,408,1367,3,TA,TA
1257,NoRidge,5,1994,1986,1987,0,1987,2,Gd,TA
1258,Edwards,8,1922,864,864,0,864,2,TA,
1259,Gilbert,5,2005,856,1166,0,1166,2,Gd,TA
1260,NAmes,8,1969,1054,1054,0,1054,3,TA,TA
1261,Gilbert,5,1999,841,892,783,1675,3,TA,TA
1262,NAmes,6,1956,1050,1050,0,1050,2,TA,TA
1263,ClearCr,5,1957,1104,1104,684,1788,5,TA,TA
1264,BrkSide,6,1919,764,1060,764,1824,3,TA,TA
1265,NAmes,5,1998,1405,1337,0,1337,2,Gd,TA
1266,Somerst,5,1999,691,713,739,1452,3,Gd,TA
1267,OldTown,4,1910,925,964,925,1889,4,TA,TA
1268,Timber,5,2008,2002,2018,0,2018,3,Ex,TA
1269,Crawfor,9,1935,728,1968,1479,3447,4,Gd,TA
1270,NAmes,5,1958,874,874,650,1524,3,TA,TA
1271,ClearCr,6,1979,1332,1332,192,1524,0,Gd,TA
1272,NWAmes,7,1968,1489,1489,0,1489,3,Gd,TA
1273,Sawyer,6,1965,935,935,0,935,3,TA,TA
1274,Edwards,7,1959,1019,1357,0,1357,2,Ex,TA
1275,Crawfor,6,1910,661,661,589,1250,3,TA,TA
1276,NAmes,5,1948,928,928,992,1920,4,TA,Fa
1277,NWAmes,6,1972,723,735,660,1395,3,TA,TA
1278,NWAmes,5,1967,1680,1724,0,1724,3,TA,TA
1279,CollgCr,5,2002,1128,1128,903,2031,3,Gd,TA
1280,IDOTRR,4,1920,698,698,430,1128,2,TA,TA
1281,CollgCr,5,2002,1573,1573,0,1573,3,Gd,TA
1282,Timber,5,1990,1309,1339,0,1339,2,TA,Gd
1283,CollgCr,7,1977,1040,1040,0,1040,3,Gd,TA
1284,Mitchel,5,1971,912,912,912,1824,4,TA,
1285,SWISU,7,1919,804,1699,748,2447,4,Gd,TA
1286,BrkSide,6,1939,780,825,587,1412,4,TA,TA
1287,NWAmes,5,1963,1328,1328,0,1328,3,TA,TA
1288,ClearCr,5,1964,1624,1582,0,1582,4,TA,TA
1289,StoneBr,5,2000,1501,1659,0,1659,2,Ex,TA
1290,NridgHt,5,2006,1085,1120,850,1970,3,Ex,TA
1291,NAmes,7,1964,1152,1152,0,1152,3,TA,TA
1292,BrDale,7,1972,630,630,672,1302,3,TA,TA
1293,OldTown,4,1892,994,1378,994,2372,4,TA,TA
1294,NWAmes,5,1976,832,832,832,1664,4,TA,TA
1295,Edwards,7,1955,864,864,0,864,2,TA,TA
1296,NAmes,5,1968,1052,1052,0,1052,3,TA,TA
1297,NAmes,6,1963,1120,1128,0,1128,3,TA,TA
1298,Edwards,5,2005,547,1072,0,1072,2,TA,TA
1299,Edwards,5,2008,6110,4692,950,5642,3,Ex,TA
1300,NAmes,7,1959,1246,1246,0,1246,3,Gd,TA
1301,Gilbert,5,1999,978,1005,978,1983,3,Gd,TA
1302,Crawfor,7,1942,771,753,741,1494,3,Gd,TA
1303,NoRidge,5,1994,1165,1203,1323,2526,4,Gd,TA
1304,Somerst,5,2005,1616,1616,0,1616,3,Gd,TA
1305,Edwards,5,2004,976,976,732,1708,3,Gd,TA
1306,NridgHt,5,2006,1652,1652,0,1652,2,Ex,TA
1307,NridgHt,5,2005,1368,1368,0,1368,2,Gd,TA
1308,CollgCr,5,1994,990,990,0,990,3,TA,TA
1309,OldTown,7,1948,924,1122,0,1122,2,Gd,TA
1310,SawyerW,5,1991,1278,1294,0,1294,3,Gd,TA
1311,Crawfor,8,1959,1902,1902,0,1902,3,Ex,TA
1312,CollgCr,5,2005,1274,1274,0,1274,3,Gd,TA
1313,NoRidge,5,1990,1453,1453,1357,2810,4,Gd,Gd
1314,NoRidge,5,1999,1393,1422,1177,2599,4,Gd,TA
1315,Edwards,6,1954,948,948,0,948,3,TA,TA
1316,NAmes,5,1969,952,1092,1020,2112,4,TA,TA
1317,CollgCr,5,2008,1622,1630,0,1630,3,Ex,TA
1318,Somerst,5,2006,1352,1352,0,1352,2,Gd,TA
1319,CollgCr,5,2001,1753,1787,0,1787,3,Gd,TA
1320,Edwards,5,1954,864,948,0,948,3,TA,TA
1321,NAmes,3,1957,1478,1478,0,1478,3,TA,TA
1322,BrkSide,6,1949,0,720,0,720,2,TA,Fa
1323,NoRidge,5,1992,750,1061,862,1923,3,Gd,TA
1324,BrkSide,7,1940,420,708,0,708,2,Fa,
1325,Somerst,5,2006,1795,1795,0,1795,2,Gd,TA
1326,IDOTRR,4,1922,796,796,0,796,2,TA,
1327,Edwards,6,1931,544,774,0,774,3,Gd,
1328,Mitchel,9,1982,816,816,0,816,3,Gd,TA
1329,OldTown,7,1920,1510,1584,1208,2792,5,TA,TA
1330,Gilbert,5,1998,935,955,677,1632,3,TA,TA
